从哪一天开始在广州市内骑摩托车会被没收？|2007年1月16日
卡利创立的网际网路档案馆要到什么时后才开放存取？|2001年
收录在网际网路档案库的数位媒体除了符合创作共用授权协定也都符合了什么？|美国公共领域
在美国别称为獾州的州的首都位在哪边？|麦迪逊
威斯康辛州为了能够大量造纸花了多久的时间？|数十年
近地轨道如果高于多少高度就会因为大气阻力而变得无用？|300公里
人造卫星是如何制造更多的太空垃圾的？|轨道上的高速碰撞
非执行董事最组成公司中的什么组织？|董事会
除了管理、器械与财务生产的要素还有什么？|资源
除了存在于合法的环境中管理也可以存在在何种环境？|非法
组织的经理候选人可以用什么词的意思来描述？|管理
提到使用分工来提高生产效率的某本书其作者是谁？|亚当·斯密
伦西斯·利克特和玛丽·帕克·福列特将管理以什么学问来探讨？|社会学
管理层要运作的必要条件为何？|得到大多数员工的支持
四方社区著重于共同地域而华人社区著重于？|共同文化
在拉丁语意思为亲密的关系和共同的东西是什么单词？|社区
哪一区域的所有县市的乡村地区都有组织社区管理委员会？|山东省
客家人的遗传分析中哪一方的汉人比例向对于另一方较低？|北方
1994年时哪一个地区的客家人口最多？|中国大陆
哪一个国家有部分将客家语作为官方语言？|圭亚那
从什么时候开始公车、捷运的广播须要有客家语？|2000年
在香港约有多少包含原居民跟非原居的客家人？|100万
客家人的女子和汉人不同少有什么习俗？|裹脚
挪威何时形成统一王国?|9世纪
赌博相对于投资是不将什么纳入考虑范围的？|风险
投资会涉及到很多什么领域的活动？|经济
第二次合肥之战是由谁发起的？|孙权
孙权还在魏国做王时是称为？|吴王
227年至234年间的六次战争当中往哪一方位的次数最高？|北
谁成功阻止了蜀汉的北伐？|司马懿
司马昭于什么时候开始灭掉蜀国？|263年
吴国的第一个帝王是谁？|孙权
三国的行政区域分为多少层级？|三
曹魏立国后的12州哪一州在郢州下面？|荆州
孙吴是在什么时候拿到整个荆州南部的？|击败关羽后
三国当中哪一个政治制度与东汉差异最大？|曹魏
虽然因为刘禅宠信宦官黄皓而导致朝政变坏但是政风直到蜀汉灭亡都算清廉跟什么人有关系？|诸葛亮
匈奴分为南和北是到了什么朝代？|东汉
南中之乱是由谁所平定的？|诸葛亮
私人统率的军队可以用什么词表示？|部曲
曹操在进攻哪里时杀了数十万人？|徐州
三国时期的人口约为东汉时最高人口的百分之多少？|35.3
在东汉末年所形成的坞堡和庄园制度影响到了之后哪一个朝代的经济模式？|魏晋南北朝
孙吴的商业都市中哪一个是以非国内的贸易为主？|番禺
什么时候开始州成为一级行政区？|188年
诸葛亮在册封刘备皇后时是按照众多礼制中的哪一种来执行？|儒家
三曹为哪一种学派的代表人物？|建安文学
参考《吴书》及《魏略》的有关三国的史书为谁写的？|陈寿
哪一本书又有《太平青领书》这个名称？|太平经
五斗米道所信仰的和什么宗教差不多？|太平道
什么时代以前绘画的性质偏向职业而不是艺术？|三国
汉少帝是被谁所杀？|董卓
李傕统治了汉朝多久？|四年
袁术所建立的国家被刘备和谁灭掉？|曹操
袁绍死掉的1年前被哪一军队打败了？|曹军
刘琮的哥哥把由谁所带领的军队送至夏口？|刘备
代谢如果停止的话生物体会怎样？|生命就会结束
哪一对动物致命的物质被原核生物作为营养物质？|硫化氢
哪种光系统可以在水中得到电子？|光系统2
异营生物和自营生物要产生复杂分子的差异中异营生物为？|需要更复杂的物质来源
细菌一样都是有多个不同的酶分别催化每一个反应的是？|植物质体
聚成角鲨烯是由何种物质聚集而成的？|异戊二烯
次黄苷酸和甲酸基的关系就如同嘌呤和什么？|核苷
用细胞中的代谢来维持复杂性的过程中自发的为？|分解代谢
一个酶会于什么部分发生颇大变化？|活性
如果血液中葡萄糖水平的升高什么物质会发出反应？|胰岛素
进化成新的代谢途径当中将什么物质加到一个较短的原始途径？|酶
酵母被改造成为为生物技术中的高效工具是利用什么技术？|代谢工程
什么时候开始才对代谢有独立的研究？|20世纪初
甘油三酯的酯是指？|脂肪酸分子
要储存遗传资讯时哪一种物质是必要的？|核酸分子
要执行基团转移反应的必要物质为？|辅酶
什么反应会消耗分解代谢反应中生成的物质？|合成代谢反应
烟碱醯胺腺嘌呤二核苷酸来自什么物质的衍伸物？|核黄素
哪种金属元素在酶活性的发挥具有不可或缺的作用？|过渡金属
胺基酸是由什么物质分解而来的？|蛋白质
小麦属的野生种共有多少种？|4
野生撒穗类型和栽培裸粒类型根据什么证明是属于同一品种？|染色体
哪一种在中国种植的小麦生育期比冬小麦短？|春小麦
面粉是由什么磨成的？|小麦
满洲国实际上是被什么控制的国家？|日本军国主义者
袁世凯因为什么事件的发生而被讨伐？|洪宪帝制
萨尔瓦多承认满洲国后约4年哪个国家也承认了满洲国？|德国
哪个国家因为惹怒了日本而结束了与日本的外交结盟关系？|萨尔瓦多
满洲国家军队飞行队成立的7年后参与了什么军事活动？|太平洋战争
满洲国服兵役的义务役期为？|三年
什么时候日本军俘虏开始苏联滞留？|8月23日
满铁占了日本对满洲投资总和的多少百分比？|80
满洲地区存栏牲畜中数量比马多10倍的为？|猪
奖励金制度的废除主要是受什么影响？|日美太平洋战争爆发
哪一年开始鸦片产业在满洲国达到鼎盛？|1942
日本军部强硬的少壮派军官对于日本首相对满蒙问题上有什么意见？|过于软弱
煤炭工业和油页岩工业均有在哪个地区集中？|抚顺
日本产业株式会社于何时决定将总部搬进新京？|11月20日
满洲国工业产值从1936年开始4年间上升了超过几成？|6
《劳动统制法》于哪一年颁布修改？|1941
什么时候的中国公路比1943年满洲国的公路多约2公里的里程数？|1949年
1944年满洲国的财政收入中占第四位的为？|牲畜税
满洲国从建国到灭亡发行邮票的次数为？|37
满洲国的学校教育大量加入了哪一种宗教的仪式？|日本神道教
《学校体育科教授要目》是于什么时候制定的？|1944年
满洲基督教会本部的领导为？|石川四郎
满洲国中哪种等级的学校数量远高于其他的？|小学
在满州国的大学生应该要达到哪一等级的日语水平？|二
协和青年团的袖标的图案的颜色为？|黑
中国共产党展开的地下活动位于哪地区？|东北三省
满洲国于什么时候开始体育课成为必修？|1938年
满洲国什么族群在搭电车时无法入特等车厢？|中国人
什么东西也常被称做生命的积木？|细胞
什么物质会在核糖体合成？|蛋白质
溶体破裂细胞会被分解和溶体中的什么物质有关？|水解酶
粒线体这一个胞器的膜为哪一种？|双层膜
什么产生的分泌物是构成细胞壁的成分？|细胞质
组成真菌细胞壁的哪一物质与钙盐混杂时会硬化？|几丁质
细胞分裂的方式除了减数分裂还有？|有丝分裂
与细胞的基本生存无直接关系的基因可称？|奢侈基因
原生质的凝固是发生什么状况时最明显的现象？|细胞死亡
发现细胞的科学家是哪国人？|英国
是谁认为细胞里面为液体所组成？|拉马克
生物至少由一个什么组成？|细胞
什么东西不只是所有生物的生理单位也是构造单位？|细胞
距今约多久之前演化出了真核细胞？|21亿年
原核细胞可以自由运动是由于使用何种物质来组成外形、鞭毛和纤毛？|蛋白质
细胞壁可以防止细胞因为高张环境下的渗透压和什么原因而导致破裂的状况？|过度膨胀
真核细胞中的什么部分是真核细胞这个名称的由来？|细胞核
真核细胞中除了纤毛也可以透过什么部位来运动？|鞭毛
细胞与周围交换物质的重要管道为？|原生质膜
蛋白质如果要通过核孔必须以什么作为代价？|能量
真核细胞的细胞核中最巨大的结构为？|核仁
于2001年发射并围绕在日-地系统拉格朗日点2运行的为？|威尔金森微波各向异性探测器
辛巴威人信仰哪一教的比例比信仰地方宗教的比例高18%？|基督教
辛巴威的平均海拔有几千公尺左右？|1
在辛巴威住的人种当中哪一个是最少的？|白人
辛巴威的成人识字率于哪一年跟当年的3年前比少了约1.3%？|2013
南北罗德西亚以及尼亚萨兰组成的联邦维持多久？|十年
辛巴威在什么时候正式独立成为共和国？|1980年4月18日
资金援助债权国搁置对辛巴威的援助计划和谁有很大的关系？|穆加比
2008年的什么时候通膨率比2月时上升了3万5千个比分比？|6月
匈牙利在2012前的国号为何?|匈牙利共和国
太空飞行器离开运行轨道需要介质阻力和什么力？|火箭推力
轨道摄动理论于何时总结出？|19世纪末
什么的研究与工程实践有紧密的联系？|轨道运动理论
研制飞弹和人造地球卫星让什么学问的研究发展更快？|火箭力学
轨道摄动为简化理论轨道和什么的差？|精确理论轨道
月球探测和行星探测活动的目的中比例最高为？|接近目标天体
火箭轨道运动是火箭什么运动的别称？|质心
唐朝时是在谁执政时有改过国号一次？|武则天
东突厥汗国于什么时候攻打长安？|626年
赞普松赞干布的妻子为？|文成公主
西突厥于什么时候灭国？|659年
在唐朝的唐高宗和唐睿宗之间还有哪位皇帝？|唐中宗
被武则天大力提拔的科举出身之官员被称为？|北门学士
谁和韦后想要效仿武则天？|安乐公主
唐玄宗前期将谁当成榜样治国？|贞观
唐玄宗于722年设的经略使有多少？|一个
在马嵬驿之变中杨贵妃和谁被杀死？|杨国忠
太平公主因为谁的命令而自杀？|唐玄宗
李宝臣于什么时候死掉？|781年
韦执谊在哪位皇帝在位时担任宰相？|唐顺宗
投奔河北三镇的兵原本是因为谁的建议而被裁的？|段文昌
唐武宗的哥哥为唐朝的什么皇帝？|唐文宗
李晔的哥哥于什么时候死掉？|888年
是谁逼唐昭宗迁都到洛阳？|朱全忠
唐朝的版图在什么时候开始就比隋朝最大的版图还大？|630年
东突厥在什么时候被消灭？|贞观四年
唐朝最大的敌国为？|吐蕃
唐朝最高的行政机构为？|尚书省
下设工部、屯田、虞都、水部四司的单位与什么单位同为后行？|礼部
唐朝在什么时期进入宦官时代？|中后期
唐朝法律中哪一个与行政有关？|式
哪个国家有派留学生到唐朝学习？|新罗
印刷术和哪个为诞生于唐朝的四大发明？|火药
《篆隶万象名义》的作者为哪国人？|日本
西突厥于唐朝哪一皇帝在位时灭亡？|唐高宗
慕容顺继承哪一国的王位并归顺于唐？|吐谷浑
什么时候吐蕃向唐朝要求重新画国界而开战？|714年
唐朝的佛教建筑含有什么国家的要素？|天竺
《海药本草》详细介绍了哪一国的药物？|波斯
唐朝时长安有被什么国家攻陷过？|吐蕃
府兵制在天宝年间被募兵制和什么制度代替？|征兵制
五代十国的哪一国的居民为早期移民的后裔？|南汉
中国的总耕地面积在什么时候达到了约一千四百万顷？|开元二十八年
唐朝的水路运输以什么城市作为中心？|洛阳
世界上第一个发行并使用纸币的国家为？|大唐
什么事件后唐朝结束了鼎盛时期？|安史之乱
唐朝的货币制度是什么与实物货币并行的制度？|金属货币
隋唐两个朝代哪个买卖土地的限制比较严格？|隋朝
宣扬天命理论的人是谁？|刘禹锡
小李杜指的是杜牧与哪一位诗人？|李商隐
《枕中记》和《长恨传》是属于哪种文学形式？|传奇
唐代佛教哪一宗派将《华严经》视为经典？|华严宗
太上玄元皇帝是谁给老子的称号？|唐高宗
伊斯兰教为哪一个国家的国教？|大食
摩尼教起源于哪一个国家？|波斯国
科举制度在唐朝分成制举与什么？|常举
有「画圣」称号的唐代画家为？|吴道子
《霓裳羽衣曲》和《小破阵乐》是唐朝哪位皇帝做的曲子？|玄宗
哪位皇帝在位时完成了中国第一本官修药书？|唐高宗
洛阳城和什么是中国历史都城中规划最为严谨端正的两个？|长安城
世界上已知最早使用雕版印刷制成的书为？|金刚经
唐朝人除了在祭祀场合以外都是以什么衣服为主？|鲜卑胡服
神话人物的形象大部分取自什么当作素材？|原始人类
神话、传说和民间故事哪一个一般会被当成是真实的？|传说
神话的三类当中最重要的为哪一个？|创世神话
在文学理论中认为传递永恒的真理的价值观会透过什么？|故事
宙斯死了之后被埋葬在哪边？|克里特岛
詹姆斯·弗雷泽认为神话的发明于什么有关？|魔法
因为哪方面的问题导致克卜勒拖了4年才发表克卜勒定律？|法律纠纷
绕著自己转的粒子会比自己轻还重？|轻
在牛津大学负责安排教职员讲课及指导研究项目的单位有多少？|4所
真正在处理牛津大学的行政事务的领导为？|校长
牛津的永久私人学堂的管理方为？|宗教团体
牛津的本科教育每一学期有多长？|八周
英国哪所大学对本科生的资助为全英第一？|牛津大学
牛津大学旧校区的方庭在启用前4年由谁建立？|托马斯·博德利
牛津和哪所大学对划艇队相当重视？|剑桥
「牛津联盟」举办辩论比赛的频率为一周几场？|一
牛津大学的领导从1201年起为？|校长
牛津大学学生会会直接向学生提供援助和什么？|福利
爱德蒙·哈雷是研究什么学问的名人？|天文
有多少英国首相是出自牛津大学的？|26位
菲利普·拉金之于诗人而安德鲁·劳埃德·韦伯之于？|作曲家
建立全球资讯网的名人曾在哪所学校学习？|牛津
约瑟夫·科代罗是哪一国的天主教枢机主教？|巴基斯坦
许多修道会提供了学堂和什么给学生？|宿舍
哪一位英国国王的决定让英格兰在19世纪20年代前都只有两间大学？|爱德华三世
因不满与罗马天主教廷断交的牛津大学而出走的学者最后在哪边安定下来？|杜埃大学
在什么时候以前要进入牛津大学必须要了解古希腊文？|1920年
什么时候进入牛津大学就读的人当中371人就有约190人为女性？|2013年
牛津大学的大学公园的面积为？|70英亩
关东地方的人口占了全日本的多少比例？|超过三分之一
日本首屈一指的农业地带在哪？|东关东
日本的农业生产额第一的地区为？|北海道
哪边和宇都宫、高崎、水户的终点车站周边有强大的购买力？|市中心
关东地方的什么地区与低矮山丘为常绿阔叶林？|平原
千叶县南部为丘陵而群马县为？|盆地
哪一地区在日本自然公园面积比例排名当中比东京都低2名？|埼玉县
什么季节会因南岸低气压通过而造成降雨或降雪？|冬季
为何千叶的冬季最低气温会非常高？|热岛现象
日本在绳文时代时人口密度最高的地区为？|南关东
毛野国在古代的哪个地方具有代表性？|北关东
股票的历史可以追朔到哪一家企业？|荷兰东印度公司
随机漫步理论为什么理论的基础？|被动投资
沃伦·巴菲特是以哪种方式投资的有名人？|价值投资
哪种投资方法可以降低投资时产生的非系统性风险？|投资组合
什么现象用来表示股票价格超过本身内在的投资价值的状况？|股市泡沫
平均一个成熟的市场的市盈率为多少倍？|15
镁的颜色为？|银白色
光卤石中的什么成分的离子是海水的重要成分？|镁
用途前二广泛的结构材料为铝和什么？|铁
苦卤和泻盐于什么时候开始被当成药物来使用？|18世纪初
哪一镁的化合物可以用来治疗胃酸？|氢氧化镁
新法的实施对于平民是增加了什么？|负担
熙宁五年和元丰四年差了多少年？|9
元祐更化的结果是哪一方赢？|旧党
蔡京借由什么的名义来排斥异己？|恢复新法
辽国被哪国和北宋给灭掉？|金国
唐宋八大家中有75%出自于哪一朝代？|宋朝
是谁让秦桧的孙儿失去状元的？|高宗
哪位皇帝洗刷了岳飞的冤屈？|孝宗
赵禥死掉的3年前国号为什么的朝代建立了？|大元
赵匡胤成为皇帝时年纪多大？|33岁
南宋的第一位皇帝一直南迁是因为什么国家的军队造成的？|金
开封府在什么时候被升为京畿路？|崇宁五年
什么朝代开始仓司会管茶跟盐？|南宋
如宋朝有一县有485户则是8等级中的哪一等？|下
到了什么朝代宰相再次拥有三种权力？|南宋
知枢密院事是哪一机关的领导？|枢密院
宋太宗将哪一国家灭了而结束藩镇割据的局面？|北汉
朝廷有想要恢复《唐六典》模式的律令官制室在什么皇帝在位的时候？|宋神宗
只为内外差遣所带加衔而不理馆阁事务的职位的统称为？|职
宋朝到了什么时候官品少了12阶？|元丰
哪位皇帝为了防止武将夺权而加强中央集权？|宋太祖
军事费用因为对辽、西夏等国的战争而怎样？|增加
岳飞的兵权于什么时候之后被消灭？|绍兴十一年
中国在宋朝之前所使用的武器都是哪一种？|冷兵器
向辽国与金国发出的外交文书应被称为？|册封
土地私有产权制度是中国哪一朝代开始确立的？|宋
宋朝总共与多少国家有通商的关系？|58个
川蜀地区为丝织业的中心而雷州半岛地区为什么产业的中心？|棉纺织业
宋朝在造纸方面产于安徽有名的是澄心纸而浙江为？|藤纸
宋朝时品质最好的印刷书为哪边所刻的？|临安国子监
中国什么时候的海上交通有者兴盛的发展？|南宋时期
在宋代如果要进行跨州的交易会使用什么货币？|黄金
交子是在什么皇帝在位时出现的？|真宗
到理宗淳祐六年会子发行额为原本的几十倍以上？|六
东南沿海的港口会成为宋朝的贸易中心与丝绸之路被哪一国阻挡有关？|西夏
王栐认为在什么时候就已经以募兵制为主？|北宋
唐跟宋的两税哪一边的范围比较大？|唐
哪一国在雍熙北伐后时常骚扰宋国？|辽国
「好铁不打钉，好男不当兵」这句谚语出自于哪一朝代？|宋朝
谁的理论表示理是为万物之源？|朱熹
谁为宋朝的散文风格奠定基础？|欧阳修
宋朝的三苏中谁的文章成为科举考试的范例文章？|苏轼
《六一诗话》的作者是谁？|欧阳修
宋朝建立前哪位皇帝有限制佛教过？|周世宗
宋朝的佛教在哪位皇帝执政时又被遭受打击？|宋徽宗
度牒从宋朝哪位皇帝执政开始变成政府赚钱的手段？|神宗
玉清昭应宫是哪位皇帝下令而盖成的？|宋真宗
三夷教中哪一叫在宋朝灭亡前都没有衰退？|摩尼教
什么产业的发达导致民间可掌握的教育资料开始增加？|印刷业
宋代的教育因什么东西的改良而有所发展？|科举制度
谁的作品中指出宋朝的科学因为经济没有在改革社会上发挥作用而无法有系统地推进？|黄仁宇
《武经总要》是哪位皇帝在位时所修的？|仁宗
南宋以后山水画的画风以什么为主流？|水墨
汝窑之于青瓷而定窑之于？|白瓷
有说法认为中国油画传入欧洲是在中国什么朝代的时候？|元代
书法注重在工的体现是在中国什么朝代时？|隋唐五代
忠孝节义的观念是来自于哪一门学派的？|儒家
宗族制度在哪边成为维系社会的主要原因？|农村
从什么朝代开始政府和民间就觉得慈善事业为公共事业中最重要的？|宋
由一串岛屿组成的地形为？|群岛
群岛国家中哪一个是面积最大的？|印度尼西亚
中华人民共和国的高速公路用了多久的时间追上了美国的里程数？|20年
根据许多国家在高速公路上的什么如果出现故障的车辆可以停在停车带上？|规定
爬坡车道的主要对象是？|大型车辆
中国的超车道制度依照什么法律开始取消？|道路交通安全法
以红框白底作为的标志的样式的高速公路可以在哪找到？|香港
高速公路的平均时速和哪一国家的高速公路限速一样？|中国大陆
中国大陆大部分的高速公路以什么来代替路灯？|反光路标
在中国第一次拿到驾照后要等多久之后才能上高速公路？|一年
香港的高速公路限速速度中最快的速率有到多少？|每小时110公里
哺乳动物和鸟类的地位于什么时候已经确立下来？|中新世
人类的历史中显示其大部分的活动位于哪里？|陆地
海洋是因为什么而形成的？|火山活动
古大洋是因为什么分裂而形成的？|罗迪尼亚大陆
大陆架的地壳与什么的地壳的密度差了每立方厘米十分之一克？|海洋
地球上最大的半岛为？|阿拉伯半岛
乌拉圭的人类发展指数在全美洲中的排名为？|第三
乌拉圭这名称可能来自于被称为什么的蜗牛？|乌拉瓜
乌拉圭独立后选为其国庆日的是哪一天？|8月25日
同性恋在何时之后其结婚的法律效力可以在乌拉圭获得保障？|2013年4月
乌拉圭在哪一年第二次恢复总统制？|1985
2000年的经济危机乌拉圭因为阿根廷和哪个国家而受牵连？|巴西
乌拉圭以什么作为官方语言？|西班牙语
乌拉圭人最爱什么运动？|足球
于第一届诺贝尔文学奖得奖的人可以拿到多少奖金？|150,782瑞典克朗
赛德娜的温度超过克氏35.6的状况会持续多久？|200年
所有类似塞德娜的天体都拥有了差不多的什么？|近日点
约有多少类似塞德娜的物种可能出现在小行星225088附近的区域？|40个
米高·布朗认为让赛德娜的公转轨道为椭圆形的是哪种星？|恒星
